State_Name,District_Name,Latitude,Longitude,Year,Season,Crop,Area,Production,Mean_Temperature,Max_Temperature,Min_Temperature,Precipitation,Shortwave_Radiation,Wind_Speed,Relative_Humidity,ET0,Soil_Moisture,Soil_Temperature,Soil_pH,Organic_Carbon,Clay,Sand,Silt,Elevation,Yield
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Arhar/Tur,21400.0,2600.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.12149532710280374
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Bajra,1400.0,500.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.35714285714285715
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Castor seed,1000.0,100.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.1
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Cotton(lint),7300.0,9400.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.2876712328767124
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Dry chillies,3700.0,7100.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.9189189189189189
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Groundnut,650800.0,228400.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.35095267363245236
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Horse-gram,3300.0,1000.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.30303030303030304
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Jowar,10100.0,10200.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.00990099009901
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Korra,2200.0,700.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.3181818181818182
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Maize,2800.0,4900.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.75
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Moong(Green Gram),1300.0,500.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.38461538461538464
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Other Kharif pulses,800.0,100.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.125
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Ragi,6700.0,11800.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.7611940298507462
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Rice,35600.0,75400.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,2.1179775280898876
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Sugarcane,700.0,72900.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,104.14285714285714
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Sunflower,35900.0,11100.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,0.30919220055710306
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Kharif,Tobacco,200.0,200.0,26.702156862745095,32.39686274509804,22.16986928104575,350.36,18.42156862745098,4.27078431372549,62.2875816993464,5.643594771241831,0.1531111111111111,30.4359477124183,0.71,1.64,3.01,4.61,2.38,349.0,1.0
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Rabi,Dry chillies,100.0,100.0,25.140652173913043,31.35717391304348,20.582065217391303,147.19,16.249347826086957,2.3692391304347824,71.03260869565217,4.005,0.1619673913043478,28.069565217391304,0.71,1.64,3.01,4.61,2.38,349.0,1.0
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Rabi,Gram,28000.0,14800.0,25.140652173913043,31.35717391304348,20.582065217391303,147.19,16.249347826086957,2.3692391304347824,71.03260869565217,4.005,0.1619673913043478,28.069565217391304,0.71,1.64,3.01,4.61,2.38,349.0,0.5285714285714286
Andhra Pradesh,ANANTAPUR,14.678322,77.606504,1997,Rabi,Groundnut,20200.0,21700.0,25.140652173913043,31.35717391304348,20.582065217391303,147.19,16.249347826086957,2.3692391304347824,71.03260869565217,4.005,0.1619673913043478,28.069565217391304,0.71,1.64,3.01,4.61,2.38,349.0,1.0742574257425743
